iter	Passed	Remaining
0	5	2345
1	15	3012
2	24	3192
3	34	3392
4	38	3075
5	47	3131
6	56	3181
7	63	3102
8	72	3163
9	79	3107
10	85	3023
11	91	2958
12	96	2880
13	102	2823
14	109	2799
15	118	2834
16	124	2813
17	130	2773
18	136	2730
19	141	2679
20	150	2711
21	159	2743
22	169	2777
23	177	2778
24	187	2808
25	195	2814
26	202	2802
27	211	2816
28	221	2829
29	226	2799
30	237	2822
31	248	2853
32	253	2823
33	262	2827
34	272	2845
35	282	2855
36	291	2864
37	301	2871
38	308	2855
39	315	2839
40	322	2819
41	331	2828
42	342	2839
43	351	2846
44	360	2846
45	369	2841
46	376	2827
47	385	2827
48	394	2822
49	404	2830
50	413	2831
51	422	2828
52	431	2823
53	441	2829
54	448	2810
55	457	2812
56	463	2790
57	475	2802
58	483	2793
59	500	2835
60	509	2831
61	520	2836
62	530	2836
63	539	2831
64	552	2847
65	561	2840
66	568	2826
67	575	2810
68	586	2813
69	598	2820
70	606	2812
71	615	2805
72	625	2801
73	635	2799
74	642	2784
75	652	2780
76	661	2774
77	669	2765
78	675	2746
79	686	2746
80	697	2746
81	704	2732
82	711	2718
83	719	2707
84	728	2699
85	735	2685
86	745	2681
87	752	2668
88	761	2660
89	768	2647
90	775	2634
91	782	2619
92	789	2607
93	797	2595
94	804	2582
95	813	2574
96	819	2560
97	826	2547
98	833	2534
99	843	2531
100	850	2518
101	856	2502
102	863	2489
103	870	2476
104	876	2462
105	882	2446
106	889	2435
107	896	2424
108	904	2414
109	911	2404
110	918	2392
111	925	2380
112	932	2369
113	940	2359
114	946	2346
115	953	2333
116	958	2319
117	966	2308
118	972	2297
119	979	2286
120	986	2274
121	991	2259
122	999	2250
123	1006	2239
124	1012	2226
125	1019	2217
126	1026	2206
127	1032	2193
128	1039	2182
129	1044	2170
130	1052	2160
131	1058	2149
132	1064	2136
133	1070	2125
134	1075	2111
135	1082	2100
136	1089	2091
137	1096	2081
138	1103	2071
139	1111	2063
140	1118	2055
141	1125	2045
142	1132	2035
143	1139	2025
144	1145	2014
145	1154	2009
146	1160	1997
147	1167	1988
148	1175	1980
149	1181	1969
150	1188	1960
151	1195	1950
152	1202	1942
153	1210	1932
154	1217	1924
155	1224	1914
156	1230	1904
157	1237	1895
158	1244	1886
159	1251	1877
160	1257	1866
161	1264	1857
162	1271	1848
163	1278	1839
164	1287	1833
165	1293	1824
166	1300	1814
167	1307	1805
168	1314	1797
169	1321	1788
170	1326	1777
171	1333	1768
172	1340	1759
173	1348	1751
174	1354	1740
175	1360	1732
176	1366	1721
177	1373	1713
178	1381	1705
179	1388	1697
180	1395	1688
181	1402	1680
182	1409	1671
183	1416	1662
184	1422	1653
185	1428	1643
186	1434	1633
187	1442	1626
188	1447	1616
189	1455	1608
190	1462	1600
191	1469	1592
192	1477	1584
193	1483	1575
194	1492	1568
195	1498	1559
196	1504	1550
197	1512	1542
198	1518	1534
199	1524	1524
200	1530	1514
201	1536	1506
202	1544	1498
203	1551	1490
204	1559	1483
205	1566	1475
206	1573	1466
207	1579	1458
208	1586	1449
209	1593	1441
210	1600	1433
211	1607	1425
212	1612	1415
213	1617	1406
214	1625	1398
215	1631	1389
216	1638	1381
217	1644	1373
218	1649	1363
219	1656	1355
220	1664	1347
221	1670	1339
222	1676	1330
223	1681	1321
224	1689	1313
225	1695	1305
226	1700	1295
227	1706	1287
228	1711	1278
229	1718	1270
230	1725	1262
231	1733	1255
232	1739	1246
233	1745	1238
234	1752	1230
235	1757	1221
236	1763	1213
237	1770	1205
238	1781	1199
239	1786	1191
240	1791	1182
241	1798	1174
242	1804	1165
243	1810	1157
244	1818	1150
245	1826	1143
246	1832	1135
247	1840	1127
248	1845	1119
249	1853	1111
250	1859	1103
251	1868	1097
252	1876	1090
253	1883	1082
254	1891	1075
255	1898	1067
256	1904	1059
257	1911	1052
258	1918	1044
259	1925	1036
260	1932	1029
261	1939	1021
262	1944	1012
263	1951	1005
264	1957	997
265	1964	989
266	1970	981
267	1978	974
268	1984	966
269	1991	958
270	1997	950
271	2002	942
272	2009	934
273	2015	926
274	2023	919
275	2032	912
276	2037	904
277	2044	897
278	2050	889
279	2057	881
280	2062	873
281	2068	865
282	2074	857
283	2080	849
284	2087	842
285	2094	834
286	2100	827
287	2107	819
288	2115	812
289	2121	804
290	2128	797
291	2135	789
292	2142	782
293	2149	775
294	2157	767
295	2163	760
296	2170	752
297	2177	745
298	2184	738
299	2191	730
300	2198	723
301	2206	716
302	2213	708
303	2219	701
304	2226	693
305	2233	686
306	2241	678
307	2248	671
308	2255	664
309	2261	656
310	2268	649
311	2275	641
312	2282	634
313	2289	626
314	2296	619
315	2303	612
316	2310	604
317	2317	597
318	2324	590
319	2331	582
320	2338	575
321	2345	568
322	2353	560
323	2360	553
324	2367	546
325	2374	539
326	2381	531
327	2388	524
328	2395	516
329	2401	509
330	2409	502
331	2416	494
332	2422	487
333	2430	480
334	2436	472
335	2444	465
336	2452	458
337	2459	451
338	2466	443
339	2472	436
340	2479	429
341	2487	421
342	2493	414
343	2500	407
344	2507	399
345	2514	392
346	2521	385
347	2528	377
348	2535	370
349	2542	363
350	2549	355
351	2556	348
352	2563	341
353	2570	334
354	2577	326
355	2584	319
356	2591	312
357	2598	304
358	2605	297
359	2612	290
360	2619	283
361	2626	275
362	2633	268
363	2640	261
364	2647	253
365	2653	246
366	2660	239
367	2667	231
368	2674	224
369	2681	217
370	2688	210
371	2695	202
372	2702	195
373	2709	188
374	2715	181
375	2722	173
376	2729	166
377	2736	159
378	2743	152
379	2750	144
380	2757	137
381	2763	130
382	2770	122
383	2777	115
